state,district,crop_type,season,irrigation_type,soil_type,land_size_acres,land_size_hectares,recommended_dose_kg_per_acre,max_allowed_qty_kg,past_fertilizer_usage_kg,expected_yield_kg,yield_per_ha_kg
Arunachal Pradesh,ArunachalDist58,Paddy,Kharif,Borewell,Sandy,0.35,0.142,50,18.3,14.92,637.76,4000
Assam,AssamDist124,Tea,Zaid,Borewell,Clay,4.64,1.878,10,51.41,29.28,4016.77,2500
Kerala,KeralaDist196,Coconut,Rabi,Canal,Loam,0.98,0.397,10,11.99,7.23,3181.27,8000
Haryana,HaryanaDist71,Cotton,Zaid,Canal,Loam,0.92,0.372,20,20.66,19.0,263.55,700
Himachal Pradesh,HimachalDist139,Paddy,Kharif,Canal,Sandy,1.32,0.534,50,64.78,44.12,1943.18,4000
Assam,AssamDist141,Paddy,Kharif,Canal,Sandy,2.27,0.919,50,126.53,118.0,4063.26,4000
Jharkhand,JharkhandDist117,Paddy,Kharif,Rainfed,Loam,1.74,0.704,50,96.35,94.04,3231.34,4000
Arunachal Pradesh,ArunachalDist10,Paddy,Kharif,Canal,Clay,2.82,1.141,50,143.6,161.67,4547.27,4000
Assam,AssamDist145,Paddy,Kharif,Canal,Loam,0.62,0.251,50,34.19,25.57,1090.92,4000
Meghalaya,MeghalayaDist100,Paddy,Kharif,Borewell,Sandy,1.01,0.409,50,48.69,50.88,1651.61,4000
Goa,GoaDist112,Cashew,Rabi,Borewell,Sandy,1.66,0.672,5,8.61,8.78,577.65,800
Tamil Nadu,TamilDist93,Paddy,Kharif,Borewell,Sandy,8.32,3.367,50,417.75,471.53,11490.94,4000
Madhya Pradesh,MadhyaDist23,Soybean,Kharif,Borewell,Sandy,1.66,0.672,20,36.16,23.95,824.81,1200
Tamil Nadu,TamilDist61,Paddy,Kharif,Rainfed,Clay,4.34,1.756,50,210.38,173.11,6732.49,4000
Andhra Pradesh,AndhraDist149,Groundnut,Rabi,Borewell,Loam,1.88,0.761,25,54.83,34.26,1384.47,1600
West Bengal,WestDist104,Paddy,Kharif,Canal,Sandy,1.24,0.502,50,61.94,60.53,2016.88,4000
Bihar,BiharDist82,Wheat,Rabi,Canal,Sandy,1.5,0.607,45,67.26,59.45,1965.47,3500
Sikkim,SikkimDist8,Potato,Rabi,Rainfed,Clay,1.59,0.643,40,66.9,65.75,14491.71,25000
Maharashtra,MaharashtraDist90,Maize,Rabi,Rainfed,Sandy,2.95,1.194,30,85.84,56.23,3800.01,3500
Nagaland,NagalandDist63,Paddy,Kharif,Rainfed,Sandy,5.47,2.214,50,254.33,245.88,8604.08,4000
Himachal Pradesh,HimachalDist60,Maize,Rabi,Rainfed,Sandy,2.43,0.983,30,71.8,45.6,3460.17,3500
Jharkhand,JharkhandDist113,Pulses,Zaid,Borewell,Loam,4.71,1.906,10,57.05,53.79,1495.6,700
Telangana,TelanganaDist150,Paddy,Kharif,Rainfed,Clay,0.84,0.34,50,40.75,30.93,1174.99,4000
Uttarakhand,UttarakhandDist122,Rice,Kharif,Rainfed,Sandy,1.31,0.53,30,33.19,37.81,1536.08,3000
Assam,AssamDist126,Tea,Rabi,Rainfed,Loam,1.02,0.413,10,9.37,8.01,931.18,2500
West Bengal,WestDist28,Paddy,Kharif,Canal,Clay,2.34,0.947,50,120.66,104.8,4349.67,4000
Meghalaya,MeghalayaDist193,Paddy,Kharif,Canal,Sandy,1.37,0.554,50,70.08,41.9,1926.39,4000
Andhra Pradesh,AndhraDist31,Paddy,Kharif,Borewell,Loam,3.27,1.323,50,195.89,171.14,4766.9,4000
Himachal Pradesh,HimachalDist198,Maize,Zaid,Borewell,Loam,0.87,0.352,30,26.93,27.99,1379.12,3500
Rajasthan,RajasthanDist149,Cotton,Kharif,Borewell,Sandy,1.89,0.765,20,39.49,43.92,596.41,700
Chhattisgarh,ChhattisgarhDist74,Maize,Rabi,Rainfed,Clay,3.16,1.279,30,88.05,96.63,4758.72,3500
Karnataka,KarnatakaDist26,Sugarcane,Kharif,Canal,Sandy,0.35,0.142,80,30.62,22.45,10095.88,70000
Kerala,KeralaDist195,Rubber,Zaid,Canal,Loam,9.95,4.027,10,105.45,85.39,38192.1,10000
Manipur,ManipurDist190,Maize,Rabi,Rainfed,Sandy,1.45,0.587,30,43.68,29.05,2063.24,3500
Tamil Nadu,TamilDist58,Paddy,Kharif,Rainfed,Sandy,0.36,0.146,50,17.13,19.62,646.68,4000
Haryana,HaryanaDist163,Cotton,Kharif,Rainfed,Clay,2.07,0.838,20,38.92,28.1,581.13,700
Uttar Pradesh,UttarDist149,Sugarcane,Rabi,Canal,Loam,1.87,0.757,80,156.21,128.96,55889.74,70000
Bihar,BiharDist116,Maize,Zaid,Rainfed,Sandy,1.71,0.692,30,50.67,55.08,2769.43,3500
Sikkim,SikkimDist91,Paddy,Kharif,Rainfed,Sandy,4.03,1.631,50,196.83,176.48,7080.81,4000
Manipur,ManipurDist82,Maize,Zaid,Rainfed,Clay,3.31,1.34,30,102.63,88.62,4918.4,3500
Punjab,PunjabDist130,Paddy,Kharif,Canal,Clay,2.31,0.935,50,116.76,119.25,4082.26,4000
Andhra Pradesh,AndhraDist50,Paddy,Kharif,Rainfed,Clay,2.61,1.056,50,114.9,147.43,4255.95,4000
Rajasthan,RajasthanDist120,Cotton,Kharif,Rainfed,Loam,1.68,0.68,20,36.45,25.05,438.62,700
Tripura,TripuraDist104,Maize,Zaid,Borewell,Sandy,7.54,3.051,30,240.03,199.53,10879.56,3500
Uttarakhand,UttarakhandDist95,Wheat,Rabi,Canal,Clay,0.56,0.227,45,25.64,28.54,889.49,3500
Himachal Pradesh,HimachalDist54,Paddy,Kharif,Borewell,Sandy,2.04,0.826,50,108.97,71.5,3770.88,4000
Chhattisgarh,ChhattisgarhDist144,Paddy,Kharif,Borewell,Loam,1.92,0.777,50,110.88,89.67,3050.94,4000
Odisha,OdishaDist183,Paddy,Kharif,Rainfed,Sandy,3.49,1.412,50,161.43,106.41,5080.62,4000
Tripura,TripuraDist102,Paddy,Kharif,Canal,Clay,0.93,0.376,50,48.18,50.62,1648.59,4000
Punjab,PunjabDist113,Wheat,Rabi,Borewell,Sandy,0.45,0.182,45,20.75,18.71,672.5,3500
Punjab,PunjabDist49,Wheat,Rabi,Rainfed,Sandy,2.07,0.838,45,87.45,99.87,2859.33,3500
Sikkim,SikkimDist145,Paddy,Kharif,Borewell,Clay,2.28,0.923,50,115.51,91.12,3828.76,4000
Uttarakhand,UttarakhandDist139,Wheat,Rabi,Borewell,Clay,6.0,2.428,45,260.99,257.81,9491.94,3500
Telangana,TelanganaDist136,Maize,Rabi,Borewell,Sandy,0.66,0.267,30,19.91,21.81,876.81,3500
Rajasthan,RajasthanDist186,Wheat,Rabi,Rainfed,Clay,4.59,1.858,45,189.93,151.06,6254.87,3500
West Bengal,WestDist200,Paddy,Kharif,Rainfed,Clay,12.11,4.901,50,541.21,730.7,20374.23,4000
Tamil Nadu,TamilDist127,Sugarcane,Rabi,Borewell,Loam,1.35,0.546,80,121.58,91.44,38927.13,70000
Arunachal Pradesh,ArunachalDist102,Paddy,Kharif,Rainfed,Loam,0.65,0.263,50,30.75,21.63,1170.41,4000
Maharashtra,MaharashtraDist2,Soybean,Kharif,Borewell,Sandy,1.32,0.534,20,24.63,23.82,634.25,1200
Himachal Pradesh,HimachalDist122,Paddy,Kharif,Rainfed,Sandy,1.84,0.745,50,89.71,64.69,3327.36,4000
Uttar Pradesh,UttarDist45,Wheat,Rabi,Rainfed,Sandy,2.86,1.157,45,119.64,133.13,3470.44,3500
Assam,AssamDist49,Paddy,Kharif,Borewell,Sandy,1.14,0.461,50,58.93,48.93,1741.94,4000
Jharkhand,JharkhandDist124,Maize,Kharif,Rainfed,Sandy,6.32,2.558,30,160.5,143.08,7850.33,3500
Tamil Nadu,TamilDist47,Sugarcane,Kharif,Borewell,Clay,0.75,0.304,80,62.55,48.78,23200.04,70000
Haryana,HaryanaDist194,Wheat,Rabi,Rainfed,Clay,0.45,0.182,45,19.1,13.14,693.56,3500
Jharkhand,JharkhandDist98,Pulses,Zaid,Borewell,Sandy,4.42,1.789,10,44.18,32.08,1323.56,700
Gujarat,GujaratDist76,Groundnut,Zaid,Canal,Clay,0.3,0.121,25,8.05,6.12,168.29,1600
Himachal Pradesh,HimachalDist23,Apple,Rabi,Borewell,Clay,1.55,0.627,5,8.87,4.66,14361.64,20000
Maharashtra,MaharashtraDist110,Sugarcane,Kharif,Borewell,Clay,20.0,8.094,80,1552.21,1368.55,555540.18,70000
West Bengal,WestDist17,Jute,Zaid,Canal,Sandy,1.8,0.728,15,28.14,30.63,1196.31,1800
Jharkhand,JharkhandDist17,Maize,Kharif,Borewell,Clay,0.74,0.299,30,24.0,19.57,1133.31,3500
Sikkim,SikkimDist90,Potato,Rabi,Borewell,Loam,1.74,0.704,40,79.35,72.01,16000.15,25000
Telangana,TelanganaDist154,Paddy,Kharif,Rainfed,Clay,1.75,0.708,50,77.13,102.96,3205.23,4000
Chhattisgarh,ChhattisgarhDist38,Soybean,Zaid,Borewell,Sandy,2.07,0.838,20,41.33,27.49,1127.15,1200
Manipur,ManipurDist110,Paddy,Kharif,Borewell,Clay,3.1,1.255,50,169.85,151.72,5568.53,4000
Tripura,TripuraDist144,Maize,Kharif,Rainfed,Clay,0.79,0.32,30,24.12,25.18,1197.13,3500
Bihar,BiharDist99,Wheat,Rabi,Rainfed,Sandy,7.03,2.845,45,263.65,199.82,10272.99,3500
West Bengal,WestDist101,Paddy,Kharif,Borewell,Sandy,2.22,0.898,50,118.13,77.52,3317.49,4000
Chhattisgarh,ChhattisgarhDist31,Maize,Zaid,Rainfed,Loam,3.26,1.319,30,106.75,85.92,4603.06,3500
Bihar,BiharDist28,Wheat,Rabi,Rainfed,Sandy,1.1,0.445,45,42.61,39.13,1592.58,3500
Chhattisgarh,ChhattisgarhDist62,Soybean,Zaid,Rainfed,Loam,5.1,2.064,20,93.66,62.96,2233.86,1200
Tripura,TripuraDist127,Paddy,Kharif,Canal,Sandy,1.48,0.599,50,77.1,57.3,2119.71,4000
Odisha,OdishaDist126,Paddy,Kharif,Canal,Clay,2.28,0.923,50,113.05,121.4,3620.67,4000
Punjab,PunjabDist59,Wheat,Rabi,Borewell,Loam,0.86,0.348,45,44.48,46.25,1089.96,3500
Tamil Nadu,TamilDist64,Sugarcane,Zaid,Borewell,Sandy,0.82,0.332,80,62.94,48.15,26056.56,70000
Kerala,KeralaDist91,Coconut,Kharif,Rainfed,Sandy,3.16,1.279,10,31.13,33.74,10900.64,8000
Tamil Nadu,TamilDist65,Cotton,Kharif,Rainfed,Sandy,1.28,0.518,20,25.55,30.52,311.26,700
Bihar,BiharDist171,Maize,Rabi,Rainfed,Loam,0.92,0.372,30,29.49,24.26,1172.44,3500
Punjab,PunjabDist25,Wheat,Rabi,Borewell,Sandy,1.09,0.441,45,46.27,38.53,1565.83,3500
Madhya Pradesh,MadhyaDist165,Wheat,Rabi,Borewell,Sandy,3.19,1.291,45,145.72,105.91,4425.26,3500
Jharkhand,JharkhandDist184,Pulses,Zaid,Rainfed,Sandy,1.1,0.445,10,10.4,9.74,286.43,700
Goa,GoaDist143,Paddy,Kharif,Rainfed,Loam,1.66,0.672,50,80.35,95.99,2445.24,4000
Telangana,TelanganaDist88,Paddy,Kharif,Borewell,Sandy,1.84,0.745,50,85.87,75.56,2624.67,4000
Chhattisgarh,ChhattisgarhDist67,Soybean,Rabi,Rainfed,Sandy,0.39,0.158,20,6.87,6.44,161.41,1200
Manipur,ManipurDist89,Maize,Zaid,Borewell,Clay,0.56,0.227,30,17.33,13.06,692.76,3500
Manipur,ManipurDist46,Maize,Zaid,Rainfed,Clay,2.38,0.963,30,71.78,51.31,3219.13,3500
Odisha,OdishaDist60,Paddy,Kharif,Rainfed,Clay,1.01,0.409,50,47.01,39.12,1653.38,4000
Himachal Pradesh,HimachalDist167,Maize,Rabi,Borewell,Sandy,4.24,1.716,30,126.1,152.31,6462.25,3500
Tamil Nadu,TamilDist191,Cotton,Rabi,Canal,Clay,3.95,1.599,20,84.51,84.22,1214.35,700
Karnataka,KarnatakaDist181,Sugarcane,Kharif,Rainfed,Clay,3.24,1.311,80,235.3,288.91,78030.04,70000
Maharashtra,MaharashtraDist67,Maize,Kharif,Borewell,Loam,7.81,3.161,30,271.72,208.9,12684.51,3500
Punjab,PunjabDist34,Paddy,Kharif,Canal,Clay,1.7,0.688,50,85.06,79.62,2821.6,4000
Maharashtra,MaharashtraDist2,Cotton,Rabi,Borewell,Sandy,3.06,1.238,20,66.8,63.96,913.23,700
Karnataka,KarnatakaDist45,Sugarcane,Zaid,Borewell,Loam,1.14,0.461,80,109.8,87.9,27905.87,70000
Andhra Pradesh,AndhraDist10,Groundnut,Rabi,Rainfed,Loam,12.96,5.245,25,335.73,302.74,7592.15,1600
Odisha,OdishaDist71,Paddy,Kharif,Borewell,Sandy,8.91,3.606,50,419.06,454.58,15727.73,4000
Tripura,TripuraDist13,Paddy,Kharif,Borewell,Clay,1.84,0.745,50,101.99,84.57,2604.99,4000
Telangana,TelanganaDist43,Paddy,Kharif,Canal,Sandy,2.48,1.004,50,117.03,142.58,4111.08,4000
Karnataka,KarnatakaDist35,Ragi,Kharif,Borewell,Sandy,5.41,2.189,15,89.26,57.62,2253.51,1000
West Bengal,WestDist157,Maize,Rabi,Canal,Sandy,1.62,0.656,30,52.63,57.6,2120.85,3500
Tamil Nadu,TamilDist44,Cotton,Zaid,Borewell,Loam,1.08,0.437,20,22.71,24.05,281.35,700
Jharkhand,JharkhandDist124,Paddy,Kharif,Canal,Sandy,3.67,1.485,50,185.52,186.66,5072.04,4000
Tripura,TripuraDist76,Paddy,Kharif,Canal,Clay,1.94,0.785,50,94.7,82.15,2978.1,4000
Madhya Pradesh,MadhyaDist173,Wheat,Rabi,Canal,Sandy,2.11,0.854,45,102.22,79.75,3056.66,3500
Arunachal Pradesh,ArunachalDist107,Millet,Kharif,Rainfed,Loam,0.93,0.376,15,14.97,9.64,375.32,900
Madhya Pradesh,MadhyaDist75,Wheat,Rabi,Borewell,Sandy,0.46,0.186,45,21.41,22.09,742.77,3500
Odisha,OdishaDist61,Groundnut,Kharif,Borewell,Clay,2.2,0.89,25,54.4,68.48,1594.61,1600
Madhya Pradesh,MadhyaDist170,Soybean,Zaid,Rainfed,Loam,3.76,1.522,20,76.08,79.18,1888.21,1200
Tripura,TripuraDist134,Paddy,Kharif,Rainfed,Loam,1.52,0.615,50,74.54,74.04,2465.02,4000
Tamil Nadu,TamilDist177,Paddy,Kharif,Borewell,Loam,5.75,2.327,50,335.9,356.72,10511.99,4000
Manipur,ManipurDist48,Maize,Zaid,Canal,Clay,1.04,0.421,30,32.18,37.77,1542.51,3500
Uttar Pradesh,UttarDist83,Sugarcane,Zaid,Rainfed,Clay,0.78,0.316,80,62.52,74.88,22725.08,70000
Uttar Pradesh,UttarDist14,Paddy,Kharif,Borewell,Sandy,1.73,0.7,50,84.59,89.66,2930.67,4000
Arunachal Pradesh,ArunachalDist60,Millet,Kharif,Rainfed,Loam,1.71,0.692,15,27.33,27.14,701.49,900
Kerala,KeralaDist121,Paddy,Kharif,Borewell,Loam,3.37,1.364,50,204.45,169.45,4824.12,4000
Goa,GoaDist185,Paddy,Kharif,Borewell,Clay,0.98,0.397,50,55.09,32.16,1500.96,4000
Nagaland,NagalandDist139,Maize,Rabi,Borewell,Loam,5.44,2.201,30,200.92,166.77,8090.58,3500
Manipur,ManipurDist30,Paddy,Kharif,Borewell,Loam,8.79,3.557,50,479.01,305.34,15942.85,4000
Bihar,BiharDist182,Wheat,Rabi,Canal,Sandy,1.77,0.716,45,82.96,65.29,2324.11,3500
Bihar,BiharDist122,Wheat,Rabi,Borewell,Sandy,4.95,2.003,45,221.59,230.86,6665.82,3500
Gujarat,GujaratDist56,Groundnut,Rabi,Rainfed,Clay,0.78,0.316,25,18.17,13.22,463.08,1600
Uttar Pradesh,UttarDist146,Paddy,Kharif,Rainfed,Loam,4.31,1.744,50,240.38,233.58,7395.28,4000
Nagaland,NagalandDist47,Paddy,Kharif,Rainfed,Loam,4.21,1.704,50,193.38,182.38,6927.83,4000
Himachal Pradesh,HimachalDist188,Paddy,Kharif,Borewell,Clay,3.64,1.473,50,189.09,140.61,6634.11,4000
Karnataka,KarnatakaDist129,Ragi,Zaid,Canal,Sandy,1.8,0.728,15,28.31,18.31,745.76,1000
Rajasthan,RajasthanDist62,Cotton,Rabi,Rainfed,Loam,0.2,0.081,20,4.46,3.96,54.04,700
Madhya Pradesh,MadhyaDist155,Maize,Zaid,Rainfed,Loam,1.09,0.441,30,35.83,38.71,1437.22,3500
Tamil Nadu,TamilDist13,Sugarcane,Zaid,Rainfed,Loam,1.1,0.445,80,81.26,109.74,32254.76,70000
Mizoram,MizoramDist103,Paddy,Kharif,Rainfed,Loam,0.83,0.336,50,38.36,25.05,1378.45,4000
Punjab,PunjabDist49,Wheat,Rabi,Rainfed,Sandy,2.01,0.813,45,78.63,109.21,3267.01,3500
Assam,AssamDist180,Tea,Rabi,Canal,Loam,1.3,0.526,10,14.3,11.05,1124.74,2500
Haryana,HaryanaDist168,Cotton,Kharif,Canal,Loam,0.94,0.38,20,20.46,21.28,271.63,700
Maharashtra,MaharashtraDist114,Sugarcane,Kharif,Canal,Loam,0.78,0.316,80,68.46,41.91,22594.51,70000
Punjab,PunjabDist7,Paddy,Kharif,Borewell,Loam,1.03,0.417,50,61.37,64.13,1719.98,4000
Nagaland,NagalandDist183,Maize,Rabi,Borewell,Clay,4.47,1.809,30,137.69,104.13,6693.3,3500
Nagaland,NagalandDist99,Paddy,Kharif,Canal,Loam,1.07,0.433,50,60.46,62.27,1851.99,4000
Telangana,TelanganaDist131,Cotton,Rabi,Borewell,Sandy,1.21,0.49,20,26.87,18.54,338.88,700
Bihar,BiharDist121,Paddy,Kharif,Rainfed,Clay,1.26,0.51,50,61.25,58.85,1809.68,4000
Rajasthan,RajasthanDist46,Cotton,Zaid,Canal,Clay,2.39,0.967,20,56.15,50.59,711.9,700
Arunachal Pradesh,ArunachalDist199,Paddy,Kharif,Canal,Loam,2.62,1.06,50,151.02,97.16,4229.06,4000
Mizoram,MizoramDist86,Paddy,Kharif,Canal,Clay,0.2,0.081,50,9.93,12.27,291.97,4000
Mizoram,MizoramDist189,Paddy,Kharif,Borewell,Sandy,4.13,1.671,50,219.03,207.39,5915.92,4000
Manipur,ManipurDist129,Maize,Rabi,Borewell,Clay,5.75,2.327,30,197.47,164.67,8021.77,3500
West Bengal,WestDist5,Maize,Rabi,Borewell,Clay,0.79,0.32,30,25.22,26.29,1218.48,3500
Arunachal Pradesh,ArunachalDist24,Millet,Zaid,Rainfed,Clay,0.84,0.34,15,12.47,14.78,289.02,900
Goa,GoaDist171,Cashew,Rabi,Borewell,Clay,1.27,0.514,5,6.86,7.1,403.81,800
Uttar Pradesh,UttarDist5,Paddy,Kharif,Borewell,Clay,1.0,0.405,50,48.97,48.64,1813.96,4000
West Bengal,WestDist6,Paddy,Kharif,Rainfed,Sandy,2.18,0.882,50,104.35,67.39,3929.5,4000
Karnataka,KarnatakaDist191,Paddy,Kharif,Rainfed,Clay,0.38,0.154,50,17.73,18.46,554.22,4000
Kerala,KeralaDist117,Paddy,Kharif,Rainfed,Clay,0.75,0.304,50,35.26,35.95,1332.46,4000
Uttarakhand,UttarakhandDist103,Rice,Zaid,Rainfed,Sandy,6.24,2.525,30,157.06,221.91,7326.58,3000
Meghalaya,MeghalayaDist62,Millet,Zaid,Borewell,Clay,0.87,0.352,15,14.37,9.37,361.3,900
Bihar,BiharDist143,Maize,Rabi,Canal,Clay,4.93,1.995,30,143.15,177.29,6662.7,3500
Assam,AssamDist141,Paddy,Kharif,Rainfed,Clay,2.42,0.979,50,114.23,77.19,3885.4,4000
Haryana,HaryanaDist13,Paddy,Kharif,Borewell,Loam,0.43,0.174,50,25.01,21.62,745.12,4000
West Bengal,WestDist44,Paddy,Kharif,Canal,Loam,3.03,1.226,50,169.02,166.14,4784.8,4000
Gujarat,GujaratDist162,Paddy,Kharif,Rainfed,Clay,1.66,0.672,50,75.38,72.43,2352.46,4000
Manipur,ManipurDist33,Paddy,Kharif,Rainfed,Clay,1.27,0.514,50,59.55,40.88,2300.86,4000
Uttar Pradesh,UttarDist116,Paddy,Kharif,Borewell,Clay,2.22,0.898,50,122.51,85.36,3201.78,4000
West Bengal,WestDist34,Paddy,Kharif,Borewell,Sandy,2.66,1.076,50,125.45,97.28,4660.63,4000
Rajasthan,RajasthanDist186,Cotton,Kharif,Borewell,Clay,3.21,1.299,20,73.64,67.07,784.69,700
Madhya Pradesh,MadhyaDist96,Soybean,Zaid,Borewell,Clay,4.68,1.894,20,92.26,112.38,2606.2,1200
Haryana,HaryanaDist83,Wheat,Rabi,Borewell,Loam,2.53,1.024,45,124.02,90.14,3591.12,3500
West Bengal,WestDist28,Maize,Kharif,Rainfed,Sandy,0.61,0.247,30,17.03,16.46,784.51,3500
Tripura,TripuraDist89,Maize,Zaid,Rainfed,Loam,1.25,0.506,30,36.19,29.51,1584.96,3500
Chhattisgarh,ChhattisgarhDist99,Soybean,Zaid,Canal,Clay,19.19,7.766,20,447.42,346.74,8097.74,1200
Gujarat,GujaratDist112,Paddy,Kharif,Rainfed,Sandy,3.25,1.315,50,136.31,202.57,4725.86,4000
Tripura,TripuraDist180,Paddy,Kharif,Canal,Loam,12.13,4.909,50,683.63,706.62,17183.0,4000
Uttarakhand,UttarakhandDist35,Wheat,Rabi,Borewell,Clay,5.56,2.25,45,292.6,284.02,6900.9,3500
Uttar Pradesh,UttarDist50,Paddy,Kharif,Borewell,Loam,2.21,0.894,50,125.35,79.98,3993.35,4000
Jharkhand,JharkhandDist78,Paddy,Kharif,Rainfed,Loam,2.32,0.939,50,117.31,123.39,3860.14,4000
Himachal Pradesh,HimachalDist149,Maize,Zaid,Borewell,Clay,1.77,0.716,30,61.14,62.77,2685.18,3500
Tripura,TripuraDist192,Maize,Kharif,Borewell,Clay,0.45,0.182,30,14.32,9.01,634.61,3500
Chhattisgarh,ChhattisgarhDist162,Paddy,Kharif,Borewell,Clay,1.85,0.749,50,102.76,84.33,2786.6,4000
Manipur,ManipurDist13,Maize,Rabi,Borewell,Sandy,4.8,1.942,30,152.87,102.57,7807.2,3500
Chhattisgarh,ChhattisgarhDist104,Paddy,Kharif,Borewell,Loam,1.13,0.457,50,58.92,69.45,1801.8,4000
Madhya Pradesh,MadhyaDist178,Soybean,Kharif,Rainfed,Sandy,2.53,1.024,20,48.68,54.57,1358.57,1200
Kerala,KeralaDist17,Paddy,Kharif,Rainfed,Sandy,3.6,1.457,50,169.6,181.35,5232.82,4000
Assam,AssamDist158,Paddy,Kharif,Borewell,Sandy,0.88,0.356,50,41.8,47.91,1214.55,4000
Sikkim,SikkimDist13,Paddy,Kharif,Rainfed,Clay,1.27,0.514,50,65.29,55.81,1905.73,4000
Rajasthan,RajasthanDist178,Cotton,Zaid,Rainfed,Sandy,0.81,0.328,20,15.71,14.97,247.32,700
West Bengal,WestDist175,Paddy,Kharif,Borewell,Loam,0.94,0.38,50,48.09,54.73,1307.47,4000
Tripura,TripuraDist88,Maize,Rabi,Borewell,Clay,0.65,0.263,30,19.6,23.41,868.55,3500
Uttarakhand,UttarakhandDist52,Wheat,Rabi,Rainfed,Sandy,0.89,0.36,45,39.11,42.51,1105.15,3500
Nagaland,NagalandDist136,Maize,Kharif,Canal,Sandy,5.67,2.295,30,162.26,152.85,8527.37,3500
Haryana,HaryanaDist69,Cotton,Kharif,Rainfed,Loam,0.88,0.356,20,16.74,19.59,225.46,700
Mizoram,MizoramDist119,Paddy,Kharif,Canal,Clay,2.02,0.817,50,110.26,108.2,3206.8,4000
Meghalaya,MeghalayaDist146,Millet,Rabi,Borewell,Sandy,1.22,0.494,15,18.08,18.07,399.58,900
Bihar,BiharDist176,Maize,Rabi,Borewell,Loam,4.68,1.894,30,147.55,144.12,6221.98,3500
Haryana,HaryanaDist20,Paddy,Kharif,Canal,Sandy,5.2,2.104,50,275.09,320.02,9344.46,4000
Madhya Pradesh,MadhyaDist31,Wheat,Rabi,Rainfed,Clay,3.64,1.473,45,164.29,147.84,5435.19,3500
Nagaland,NagalandDist147,Paddy,Kharif,Borewell,Loam,2.33,0.943,50,134.68,90.09,3512.59,4000
Uttar Pradesh,UttarDist171,Paddy,Kharif,Borewell,Sandy,1.51,0.611,50,81.28,71.6,2462.83,4000
Madhya Pradesh,MadhyaDist95,Maize,Zaid,Borewell,Clay,0.7,0.283,30,20.64,16.18,877.87,3500
Manipur,ManipurDist123,Paddy,Kharif,Rainfed,Sandy,8.63,3.492,50,365.52,296.06,14882.98,4000
Assam,AssamDist113,Paddy,Kharif,Borewell,Sandy,0.99,0.401,50,46.27,37.24,1619.42,4000
Madhya Pradesh,MadhyaDist94,Soybean,Zaid,Borewell,Loam,3.1,1.255,20,65.78,61.42,1425.3,1200
Telangana,TelanganaDist45,Cotton,Kharif,Rainfed,Sandy,4.25,1.72,20,79.34,57.18,1098.48,700
Uttarakhand,UttarakhandDist159,Rice,Rabi,Rainfed,Clay,1.17,0.473,30,34.94,36.28,1233.07,3000
Sikkim,SikkimDist103,Potato,Rabi,Canal,Loam,4.18,1.692,40,201.04,166.82,38659.44,25000
Nagaland,NagalandDist30,Maize,Kharif,Borewell,Clay,3.36,1.36,30,104.65,122.54,4348.07,3500
Uttarakhand,UttarakhandDist176,Rice,Zaid,Rainfed,Sandy,7.26,2.938,30,218.26,208.4,7910.28,3000
Odisha,OdishaDist114,Paddy,Kharif,Canal,Sandy,1.25,0.506,50,59.98,74.8,1914.45,4000
Haryana,HaryanaDist101,Cotton,Zaid,Borewell,Sandy,0.65,0.263,20,14.37,10.67,176.58,700
Mizoram,MizoramDist129,Paddy,Kharif,Borewell,Sandy,1.22,0.494,50,57.03,53.04,1951.53,4000
Karnataka,KarnatakaDist42,Sugarcane,Zaid,Canal,Loam,2.15,0.87,80,192.27,208.11,65537.83,70000
Sikkim,SikkimDist79,Potato,Rabi,Rainfed,Loam,1.91,0.773,40,74.83,86.46,21226.4,25000
Himachal Pradesh,HimachalDist155,Paddy,Kharif,Canal,Clay,1.33,0.538,50,65.4,76.46,2003.44,4000
Manipur,ManipurDist140,Maize,Kharif,Rainfed,Loam,0.4,0.162,30,11.72,10.2,517.68,3500
Himachal Pradesh,HimachalDist36,Paddy,Kharif,Borewell,Clay,2.65,1.072,50,150.25,87.19,4489.71,4000
Assam,AssamDist156,Tea,Zaid,Borewell,Loam,8.83,3.573,10,92.06,56.06,8552.59,2500
Haryana,HaryanaDist180,Wheat,Rabi,Canal,Sandy,2.64,1.068,45,123.66,89.37,4297.05,3500
Chhattisgarh,ChhattisgarhDist18,Soybean,Kharif,Borewell,Loam,2.97,1.202,20,62.41,72.49,1359.55,1200
Uttar Pradesh,UttarDist175,Paddy,Kharif,Canal,Sandy,2.88,1.165,50,144.75,163.16,5243.82,4000
Madhya Pradesh,MadhyaDist75,Maize,Kharif,Rainfed,Loam,2.5,1.012,30,77.1,63.43,3444.08,3500
Arunachal Pradesh,ArunachalDist84,Paddy,Kharif,Rainfed,Sandy,3.84,1.554,50,192.17,197.97,6193.12,4000
Tamil Nadu,TamilDist5,Sugarcane,Zaid,Rainfed,Loam,2.5,1.012,80,198.12,227.79,67634.0,70000
Telangana,TelanganaDist42,Paddy,Kharif,Borewell,Loam,1.42,0.575,50,77.72,84.9,1989.54,4000
Karnataka,KarnatakaDist57,Maize,Rabi,Rainfed,Loam,0.96,0.388,30,28.91,22.12,1331.0,3500
Manipur,ManipurDist54,Paddy,Kharif,Canal,Sandy,1.49,0.603,50,73.25,65.75,2260.32,4000
